'1번째 선수
종족(12) = "3"
공격력(12) = "550"
견제(12) = "450"
전략(12) = "450"
물량(12) = "550"
수비력(12) = "500"
정찰(12) = "450"
센스(12) = "500"
컨트롤(12) = "500"

'13번째 선수
이름(13) = "백동준"
랭크(13) = "Normal"
OYear(13) = "<11>"
Team(13) = "화승"
종족(13) = "3"
공격력(13) = "550"
견제(13) = "450"
전략(13) = "450"
물량(13) = "600"
수비력(13) = "450"
정찰(13) = "450"
센스(13) = "450"
컨트롤(13) = "600"

'14번째 선수
이름(14) = "백승혁"
랭크(14) = "Normal"
OYear(14) = "<11>"
Team(14) = "화승"
종족(14) = "1"
공격력(14) = "550"
견제(14) = "450"
전략(14) = "450"
물량(14) = "500"
수비력(14) = "450"
정찰(14) = "500"
센스(14) = "550"
컨트롤(14) = "550"

'15번째 선수
이름(15) = "송영진"
랭크(15) = "Normal"
OYear(15) = "<11>"
Team(15) = "CJ"
종족(15) = "2"
공격력(15) = "500"
견제(15) = "450"
전략(15) = "450"
물량(15) = "550"
수비력(15) = "550"
정찰(15) = "500"
센스(15) = "500"
컨트롤(15) = "450"

'16번째 선수
이름(16) = "유영진"
랭크(16) = "Normal"
OYear(16) = "<11>"
Team(16) = "CJ"
종족(16) = "1"
공격력(16) = "450"
견제(16) = "500"
전략(16) = "450"
물량(16) = "550"
수비력(16) = "600"
정찰(16) = "500"
센스(16) = "500"
컨트롤(16) = "450"

'17번째 선수
이름(17) = "강현우"
랭크(17) = "Normal"
OYear(17) = "<11>"
Team(17) = "KT"
종족(17) = "3"
공격력(17) = "600"
견제(17) = "550"
전략(17) = "450"
물량(17) = "700"
수비력(17) = "450"
정찰(17) = "500"
센스(17) = "450"
컨트롤(17) = "550"

'18번째 선수
이름(18) = "조기석"
랭크(18) = "Normal"
OYear(18) = "<11>"
Team(18) = "삼성전자"
종족(18) = "1"
공격력(18) = "450"
견제(18) = "500"
전략(18) = "450"
물량(18) = "600"
수비력(18) = "550"
정찰(18) = "600"
센스(18) = "450"
컨트롤(18) = "500"

'19번째 선수
이름(19) = "조성호"
랭크(19) = "Normal"
OYear(19) = "<11>"
Team(19) = "STX"
종족(19) = "3"
공격력(19) = "650"
견제(19) = "500"
전략(19) = "450"
물량(19) = "600"
수비력(19) = "450"
정찰(19) = "500"
센스(19) = "550"
컨트롤(19) = "450"

'20번째 선수
이름(20) = "정영재"
랭크(20) = "Normal"
OYear(20) = "<11>"
Team(20) = "SK"
종족(20) = "1"
공격력(20) = "550"
견제(20) = "550"
전략(20) = "500"
물량(20) = "550"
수비력(20) = "550"
정찰(20) = "500"
센스(20) = "450"
컨트롤(20) = "550"

'21번째 선수
이름(21) = "김유진"
랭크(21) = "Normal"
OYear(21) = "<11>"
Team(21) = "화승"
종족(21) = "3"
공격력(21) = "550"
견제(21) = "500"
전략(21) = "450"
물량(21) = "550"
수비력(21) = "500"
정찰(21) = "450"
센스(21) = "600"
컨트롤(21) = "500"

'22번째 선수
이름(22) = "하늘"
랭크(22) = "Normal"
OYear(22) = "<11>"
Team(22) = "화승"
종족(22) = "3"
공격력(22) = "550"
견제(22) = "550"
전략(22) = "600"
물량(22) = "500"
수비력(22) = "550"
정찰(22) = "450"
센스(22) = "500"
컨트롤(22) = "550"

'23번째 선수
이름(23) = "남승현"
랭크(23) = "Normal"
OYear(23) = "<11>"
Team(23) = "KT"
종족(23) = "1"
공격력(23) = "600"
견제(23) = "550"
전략(23) = "600"
물량(23) = "550"
수비력(23) = "550"
정찰(23) = "550"
센스(23) = "600"
컨트롤(23) = "550"

'24번째 선수
이름(24) = "최용주"
랭크(24) = "Normal"
OYear(24) = "<11>"
Team(24) = "KT"
종족(24) = "2"
공격력(24) = "550"
견제(24) = "600"
전략(24) = "500"
물량(24) = "600"
수비력(24) = "500"
정찰(24) = "550"
센스(24) = "500"
컨트롤(24) = "650"

'25번째 선수
이름(25) = "유준희"
랭크(25) = "Normal"
OYear(25) = "<11>"
Team(25) = "삼성전자"
종족(25) = "2"
공격력(25) = "650"
견제(25) = "550"
전략(25) = "550"
물량(25) = "650"
수비력(25) = "500"
정찰(25) = "550"
센스(25) = "550"
컨트롤(25) = "500"

'26번째 선수
이름(26) = "주영달"
랭크(26) = "Normal"
OYear(26) = "<11>"
Team(26) = "삼성전자"
종족(26) = "2"
공격력(26) = "600"
견제(26) = "550"
전략(26) = "550"
물량(26) = "600"
수비력(26) = "500"
정찰(26) = "550"
센스(26) = "550"
컨트롤(26) = "650"

'27번째 선수
이름(27) = "김성현"
랭크(27) = "Normal"
OYear(27) = "<11>"
Team(27) = "STX"
종족(27) = "1"
공격력(27) = "500"
견제(27) = "550"
전략(27) = "500"
물량(27) = "650"
수비력(27) = "650"
정찰(27) = "550"
센스(27) = "550"
컨트롤(27) = "600"

'28번째 선수
이름(28) = "박종수"
랭크(28) = "Normal"
OYear(28) = "<11>"
Team(28) = "STX"
종족(28) = "3"
공격력(28) = "550"
견제(28) = "550"
전략(28) = "600"
물량(28) = "550"
수비력(28) = "550"
정찰(28) = "550"
센스(28) = "550"
컨트롤(28) = "550"

'29번째 선수
이름(29) = "노준규"
랭크(29) = "Normal"
OYear(29) = "<11>"
Team(29) = "웅진"
종족(29) = "1"
공격력(29) = "650"
견제(29) = "600"
전략(29) = "500"
물량(29) = "600"
수비력(29) = "450"
정찰(29) = "500"
센스(29) = "500"
컨트롤(29) = "550"

'30번째 선수
이름(30) = "정경두"
랭크(30) = "Normal"
OYear(30) = "<11>"
Team(30) = "SK"
종족(30) = "3"
공격력(30) = "600"
견제(30) = "550"
전략(30) = "500"
물량(30) = "600"
수비력(30) = "550"
정찰(30) = "600"
센스(30) = "550"
컨트롤(30) = "550"

'31번째 선수
이름(31) = "방태수"
랭크(31) = "Normal"
OYear(31) = "<11>"
Team(31) = "화승"
종족(31) = "2"
공격력(31) = "600"
견제(31) = "550"
전략(31) = "500"
물량(31) = "600"
수비력(31) = "600"
정찰(31) = "500"
센스(31) = "500"
컨트롤(31) = "550"

'32번째 선수
이름(32) = "손재범"
랭크(32) = "Normal"
OYear(32) = "<11>"
Team(32) = "CJ"
종족(32) = "3"
공격력(32) = "600"
견제(32) = "600"
전략(32) = "500"
물량(32) = "650"
수비력(32) = "600"
정찰(32) = "500"
센스(32) = "550"
컨트롤(32) = "450"

'33번째 선수
이름(33) = "정우용"
랭크(33) = "Normal"
OYear(33) = "<11>"
Team(33) = "CJ"
종족(33) = "1"
공격력(33) = "700"
견제(33) = "550"
전략(33) = "500"
물량(33) = "600"
수비력(33) = "450"
정찰(33) = "550"
센스(33) = "550"
컨트롤(33) = "650"

'34번째 선수
이름(34) = "한두열"
랭크(34) = "Normal"
OYear(34) = "<11>"
Team(34) = "CJ"
종족(34) = "2"
공격력(34) = "550"
견제(34) = "550"
전략(34) = "500"
물량(34) = "600"
수비력(34) = "550"
정찰(34) = "550"
센스(34) = "600"
컨트롤(34) = "600"

'35번째 선수
이름(35) = "권수현"
랭크(35) = "Normal"
OYear(35) = "<11>"
Team(35) = "공군"
종족(35) = "2"
공격력(35) = "550"
견제(35) = "550"
전략(35) = "500"
물량(35) = "550"
수비력(35) = "650"
정찰(35) = "550"
센스(35) = "500"
컨트롤(35) = "550"

'36번째 선수
이름(36) = "이정현"
랭크(36) = "Normal"
OYear(36) = "<11>"
Team(36) = "공군"
종족(36) = "2"
공격력(36) = "550"
견제(36) = "500"
전략(36) = "550"
물량(36) = "600"
수비력(36) = "600"
정찰(36) = "600"
센스(36) = "500"
컨트롤(36) = "500"

'37번째 선수
이름(37) = "강정우"
랭크(37) = "Normal"
OYear(37) = "<11>"
Team(37) = "폭스"
종족(37) = "1"
공격력(37) = "600"
견제(37) = "500"
전략(37) = "550"
물량(37) = "650"
수비력(37) = "550"
정찰(37) = "500"
센스(37) = "500"
컨트롤(37) = "550"

'38번째 선수
이름(38) = "김준호"
랭크(38) = "Normal"
OYear(38) = "<11>"
Team(38) = "폭스"
종족(38) = "2"
공격력(38) = "650"
견제(38) = "500"
전략(38) = "500"
물량(38) = "550"
수비력(38) = "500"
정찰(38) = "550"
센스(38) = "500"
컨트롤(38) = "600"

'39번째 선수
이름(39) = "이예훈"
랭크(39) = "Normal"
OYear(39) = "<11>"
Team(39) = "폭스"
종족(39) = "2"
공격력(39) = "600"
견제(39) = "550"
전략(39) = "600"
물량(39) = "600"
수비력(39) = "550"
정찰(39) = "500"
센스(39) = "450"
컨트롤(39) = "500"

'40번째 선수
이름(40) = "주성욱"
랭크(40) = "Normal"
OYear(40) = "<11>"
Team(40) = "폭스"
종족(40) = "3"
공격력(40) = "600"
견제(40) = "550"
전략(40) = "500"
물량(40) = "550"
수비력(40) = "500"
정찰(40) = "550"
센스(40) = "550"
컨트롤(40) = "600"

'41번째 선수
이름(41) = "고강민"
랭크(41) = "Special"
OYear(41) = "<11>"
Team(41) = "KT"
종족(41) = "2"
공격력(41) = "550"
견제(41) = "600"
전략(41) = "650"
물량(41) = "750"
수비력(41) = "750"
정찰(41) = "600"
센스(41) = "550"
컨트롤(41) = "550"

'42번째 선수
이름(42) = "박재영"
랭크(42) = "Normal"
OYear(42) = "<11>"
Team(42) = "KT"
종족(42) = "3"
공격력(42) = "600"
견제(42) = "550"
전략(42) = "600"
물량(42) = "750"
수비력(42) = "600"
정찰(42) = "500"
센스(42) = "550"
컨트롤(42) = "500"

'43번째 선수
이름(43) = "박정석"
랭크(43) = "Normal"
OYear(43) = "<11>"
Team(43) = "KT"
종족(43) = "3"
공격력(43) = "700"
견제(43) = "600"
전략(43) = "600"
물량(43) = "650"
수비력(43) = "450"
정찰(43) = "550"
센스(43) = "500"
컨트롤(43) = "700"

'44번째 선수
이름(44) = "우정호"
랭크(44) = "Normal"
OYear(44) = "<11>"
Team(44) = "KT"
종족(44) = "3"
공격력(44) = "500"
견제(44) = "550"
전략(44) = "550"
물량(44) = "600"
수비력(44) = "650"
정찰(44) = "550"
센스(44) = "600"
컨트롤(44) = "600"

'45번째 선수
이름(45) = "임정현"
랭크(45) = "Normal"
OYear(45) = "<11>"
Team(45) = "KT"
종족(45) = "2"
공격력(45) = "700"
견제(45) = "600"
전략(45) = "500"
물량(45) = "650"
수비력(45) = "550"
정찰(45) = "600"
센스(45) = "650"
컨트롤(45) = "700"

'46번째 선수
이름(46) = "황병영"
랭크(46) = "Normal"
OYear(46) = "<11>"
Team(46) = "KT"
종족(46) = "1"
공격력(46) = "600"
견제(46) = "550"
전략(46) = "500"
물량(46) = "700"
수비력(46) = "650"
정찰(46) = "550"
센스(46) = "550"
컨트롤(46) = "550"

'47번째 선수
이름(47) = "김기현"
랭크(47) = "Normal"
OYear(47) = "<11>"
Team(47) = "삼성전자"
종족(47) = "1"
공격력(47) = "600"
견제(47) = "650"
전략(47) = "650"
물량(47) = "700"
수비력(47) = "550"
정찰(47) = "600"
센스(47) = "650"
컨트롤(47) = "500"

'48번째 선수
이름(48) = "박대호"
랭크(48) = "Normal"
OYear(48) = "<11>"
Team(48) = "삼성전자"
종족(48) = "1"
공격력(48) = "650"
견제(48) = "600"
전략(48) = "650"
물량(48) = "600"
수비력(48) = "500"
정찰(48) = "600"
센스(48) = "550"
컨트롤(48) = "550"

'49번째 선수
이름(49) = "임태규"
랭크(49) = "Normal"
OYear(49) = "<11>"
Team(49) = "삼성전자"
종족(49) = "3"
공격력(49) = "600"
견제(49) = "650"
전략(49) = "500"
물량(49) = "700"
수비력(49) = "650"
정찰(49) = "600"
센스(49) = "550"
컨트롤(49) = "600"

'50번째 선수
이름(50) = "김도우"
랭크(50) = "Normal"
OYear(50) = "<11>"
Team(50) = "STX"
종족(50) = "1"
공격력(50) = "600"
견제(50) = "550"
전략(50) = "600"
물량(50) = "650"
수비력(50) = "750"
정찰(50) = "550"
센스(50) = "650"
컨트롤(50) = "600"

'51번째 선수
이름(51) = "김동건"
랭크(51) = "Normal"
OYear(51) = "<11>"
Team(51) = "STX"
종족(51) = "1"
공격력(51) = "650"
견제(51) = "650"
전략(51) = "600"
물량(51) = "600"
수비력(51) = "550"
정찰(51) = "650"
센스(51) = "600"
컨트롤(51) = "550"

'52번째 선수
이름(52) = "신대근"
랭크(52) = "Normal"
OYear(52) = "<11>"
Team(52) = "STX"
종족(52) = "2"
공격력(52) = "650"
견제(52) = "550"
전략(52) = "650"
물량(52) = "600"
수비력(52) = "600"
정찰(52) = "600"
센스(52) = "550"
컨트롤(52) = "550"

'53번째 선수
이름(53) = "김승현"
랭크(53) = "Normal"
OYear(53) = "<11>"
Team(53) = "웅진"
종족(53) = "3"
공격력(53) = "600"
견제(53) = "600"
전략(53) = "550"
물량(53) = "700"
수비력(53) = "550"
정찰(53) = "600"
센스(53) = "550"
컨트롤(53) = "550"

'54번째 선수
이름(54) = "신재욱"
랭크(54) = "Normal"
OYear(54) = "<11>"
Team(54) = "웅진"
종족(54) = "3"
공격력(54) = "600"
견제(54) = "550"
전략(54) = "600"
물량(54) = "650"
수비력(54) = "650"
정찰(54) = "600"
센스(54) = "600"
컨트롤(54) = "650"

'55번째 선수
이름(55) = "이승석"
랭크(55) = "Normal"
OYear(55) = "<11>"
Team(55) = "SK"
종족(55) = "2"
공격력(55) = "650"
견제(55) = "600"
전략(55) = "550"
물량(55) = "650"
수비력(55) = "500"
정찰(55) = "600"
센스(55) = "700"
컨트롤(55) = "700"

'56번째 선수
이름(56) = "정윤종"
랭크(56) = "Normal"
OYear(56) = "<11>"
Team(56) = "SK"
종족(56) = "3"
공격력(56) = "650"
견제(56) = "600"
전략(56) = "600"
물량(56) = "650"
수비력(56) = "550"
정찰(56) = "500"
센스(56) = "550"
컨트롤(56) = "600"

'57번째 선수
이름(57) = "최호선"
랭크(57) = "Normal"
OYear(57) = "<11>"
Team(57) = "SK"
종족(57) = "1"
공격력(57) = "550"
견제(57) = "550"
전략(57) = "500"
물량(57) = "650"
수비력(57) = "650"
정찰(57) = "500"
센스(57) = "650"
컨트롤(57) = "550"

'58번째 선수
이름(58) = "고석현"
랭크(58) = "Normal"
OYear(58) = "<11>"
Team(58) = "MBC"
종족(58) = "2"
공격력(58) = "750"
견제(58) = "700"
전략(58) = "550"
물량(58) = "600"
수비력(58) = "550"
정찰(58) = "550"
센스(58) = "650"
컨트롤(58) = "600"

'59번째 선수
이름(59) = "김동현"
랭크(59) = "Normal"
OYear(59) = "<11>"
Team(59) = "MBC"
종족(59) = "2"
공격력(59) = "550"
견제(59) = "600"
전략(59) = "550"
물량(59) = "650"
수비력(59) = "550"
정찰(59) = "600"
센스(59) = "550"
컨트롤(59) = "550"

'60번째 선수
이름(60) = "민찬기"
랭크(60) = "Normal"
OYear(60) = "<11>"
Team(60) = "MBC"
종족(60) = "1"
공격력(60) = "700"
견제(60) = "650"
전략(60) = "550"
물량(60) = "600"
수비력(60) = "600"
정찰(60) = "550"
센스(60) = "550"
컨트롤(60) = "650"

'61번째 선수
이름(61) = "박지호"
랭크(61) = "Normal"
OYear(61) = "<11>"
Team(61) = "MBC"
종족(61) = "3"
공격력(61) = "650"
견제(61) = "550"
전략(61) = "600"
물량(61) = "700"
수비력(61) = "450"
정찰(61) = "500"
센스(61) = "600"
컨트롤(61) = "550"

'62번째 선수
이름(62) = "김태균"
랭크(62) = "Normal"
OYear(62) = "<11>"
Team(62) = "화승"
종족(62) = "3"
공격력(62) = "750"
견제(62) = "550"
전략(62) = "600"
물량(62) = "700"
수비력(62) = "500"
정찰(62) = "650"
센스(62) = "550"
컨트롤(62) = "600"

'63번째 선수
이름(63) = "손주흥"
랭크(63) = "Normal"
OYear(63) = "<11>"
Team(63) = "화승"
종족(63) = "1"
공격력(63) = "600"
견제(63) = "600"
전략(63) = "650"
물량(63) = "550"
수비력(63) = "600"
정찰(63) = "600"
센스(63) = "550"
컨트롤(63) = "600"

'64번째 선수
이름(64) = "오영종"
랭크(64) = "Normal"
OYear(64) = "<11>"
Team(64) = "화승"
종족(64) = "3"
공격력(64) = "700"
견제(64) = "600"
전략(64) = "600"
물량(64) = "700"
수비력(64) = "600"
정찰(64) = "550"
센스(64) = "600"
컨트롤(64) = "550"

'65번째 선수
이름(65) = "김정우"
랭크(65) = "Normal"
OYear(65) = "<11>"
Team(65) = "CJ"
종족(65) = "2"
공격력(65) = "650"
견제(65) = "600"
전략(65) = "450"
물량(65) = "650"
수비력(65) = "600"
정찰(65) = "600"
센스(65) = "500"
컨트롤(65) = "600"

'66번째 선수
이름(66) = "서지훈"
랭크(66) = "Normal"
OYear(66) = "<11>"
Team(66) = "CJ"
종족(66) = "1"
공격력(66) = "650"
견제(66) = "550"
전략(66) = "550"
물량(66) = "600"
수비력(66) = "500"
정찰(66) = "550"
센스(66) = "650"
컨트롤(66) = "650"

'67번째 선수
이름(67) = "조병세"
랭크(67) = "Normal"
OYear(67) = "<11>"
Team(67) = "CJ"
종족(67) = "1"
공격력(67) = "700"
견제(67) = "700"
전략(67) = "600"
물량(67) = "650"
수비력(67) = "500"
정찰(67) = "550"
센스(67) = "700"
컨트롤(67) = "550"

'68번째 선수
이름(68) = "고인규"
랭크(68) = "Normal"
OYear(68) = "<11>"
Team(68) = "공군"
종족(68) = "1"
공격력(68) = "550"
견제(68) = "600"
전략(68) = "600"
물량(68) = "600"
수비력(68) = "550"
정찰(68) = "650"
센스(68) = "600"
컨트롤(68) = "550"

'69번째 선수
이름(69) = "김태훈"
랭크(69) = "Normal"
OYear(69) = "<11>"
Team(69) = "공군"
종족(69) = "2"
공격력(69) = "650"
견제(69) = "550"
전략(69) = "550"
물량(69) = "600"
수비력(69) = "550"
정찰(69) = "550"
센스(69) = "600"
컨트롤(69) = "650"

'70번째 선수
이름(70) = "박영민"
랭크(70) = "Normal"
OYear(70) = "<11>"
Team(70) = "공군"
종족(70) = "3"
공격력(70) = "650"
견제(70) = "550"
전략(70) = "650"
물량(70) = "700"
수비력(70) = "550"
정찰(70) = "600"
센스(70) = "550"
컨트롤(70) = "600"

'71번째 선수
이름(71) = "손석희"
랭크(71) = "Normal"
OYear(71) = "<11>"
Team(71) = "공군"
종족(71) = "3"
공격력(71) = "650"
견제(71) = "550"
전략(71) = "600"
물량(71) = "700"
수비력(71) = "550"
정찰(71) = "600"
센스(71) = "650"
컨트롤(71) = "650"

'72번째 선수
이름(72) = "안기효"
랭크(72) = "Normal"
OYear(72) = "<11>"
Team(72) = "공군"
종족(72) = "3"
공격력(72) = "600"
견제(72) = "550"
전략(72) = "600"
물량(72) = "600"
수비력(72) = "550"
정찰(72) = "550"
센스(72) = "550"
컨트롤(72) = "600"

'73번째 선수
이름(73) = "임진묵"
랭크(73) = "Normal"
OYear(73) = "<11>"
Team(73) = "공군"
종족(73) = "1"
공격력(73) = "650"
견제(73) = "600"
전략(73) = "600"
물량(73) = "550"
수비력(73) = "450"
정찰(73) = "650"
센스(73) = "550"
컨트롤(73) = "750"

'74번째 선수
이름(74) = "박세정"
랭크(74) = "Normal"
OYear(74) = "<11>"
Team(74) = "폭스"
종족(74) = "3"
공격력(74) = "550"
견제(74) = "650"
전략(74) = "650"
물량(74) = "600"
수비력(74) = "550"
정찰(74) = "600"
센스(74) = "600"
컨트롤(74) = "500"

'75번째 선수
이름(75) = "이영호1"
랭크(75) = "Normal"
OYear(75) = "<11>"
Team(75) = "폭스"
종족(75) = "3"
공격력(75) = "700"
견제(75) = "500"
전략(75) = "600"
물량(75) = "600"
수비력(75) = "500"
정찰(75) = "550"
센스(75) = "650"
컨트롤(75) = "600"

'76번째 선수
이름(76) = "전상욱"
랭크(76) = "Normal"
OYear(76) = "<11>"
Team(76) = "폭스"
종족(76) = "1"
공격력(76) = "600"
견제(76) = "600"
전략(76) = "600"
물량(76) = "600"
수비력(76) = "650"
정찰(76) = "550"
센스(76) = "600"
컨트롤(76) = "600"

'77번째 선수
이름(77) = "김대엽"
랭크(77) = "Rare"
OYear(77) = "<11>"
Team(77) = "KT"
종족(77) = "3"
공격력(77) = "800"
견제(77) = "700"
전략(77) = "550"
물량(77) = "750"
수비력(77) = "800"
정찰(77) = "600"
센스(77) = "700"
컨트롤(77) = "700"

'78번째 선수
이름(78) = "김성대"
랭크(78) = "Special"
OYear(78) = "<11>"
Team(78) = "KT"
종족(78) = "2"
공격력(78) = "750"
견제(78) = "650"
전략(78) = "500"
물량(78) = "750"
수비력(78) = "750"
정찰(78) = "650"
센스(78) = "550"
컨트롤(78) = "600"

'79번째 선수
이름(79) = "유병준"
랭크(79) = "Normal"
OYear(79) = "<11>"
Team(79) = "삼성전자"
종족(79) = "3"
공격력(79) = "550"
견제(79) = "600"
전략(79) = "550"
물량(79) = "700"
수비력(79) = "700"
정찰(79) = "600"
센스(79) = "650"
컨트롤(79) = "650"

'80번째 선수
이름(80) = "차명환"
랭크(80) = "Rare"
OYear(80) = "<11>"
Team(80) = "삼성전자"
종족(80) = "2"
공격력(80) = "800"
견제(80) = "550"
전략(80) = "650"
물량(80) = "750"
수비력(80) = "750"
정찰(80) = "650"
센스(80) = "650"
컨트롤(80) = "800"

'81번째 선수
이름(81) = "허영무"
랭크(81) = "Unique"
OYear(81) = "<11>"
Team(81) = "삼성전자"
종족(81) = "3"
공격력(81) = "850"
견제(81) = "650"
전략(81) = "650"
물량(81) = "900"
수비력(81) = "800"
정찰(81) = "700"
센스(81) = "700"
컨트롤(81) = "900"

'82번째 선수
이름(82) = "김구현"
랭크(82) = "Normal"
OYear(82) = "<11>"
Team(82) = "STX"
종족(82) = "3"
공격력(82) = "700"
견제(82) = "650"
전략(82) = "650"
물량(82) = "650"
수비력(82) = "600"
정찰(82) = "650"
센스(82) = "550"
컨트롤(82) = "600"

'83번째 선수
이름(83) = "김윤중"
랭크(83) = "Normal"
OYear(83) = "<11>"
Team(83) = "STX"
종족(83) = "3"
공격력(83) = "600"
견제(83) = "600"
전략(83) = "600"
물량(83) = "850"
수비력(83) = "500"
정찰(83) = "600"
센스(83) = "650"
컨트롤(83) = "600"

'84번째 선수
이름(84) = "김현우"
랭크(84) = "Special"
OYear(84) = "<11>"
Team(84) = "STX"
종족(84) = "2"
공격력(84) = "800"
견제(84) = "700"
전략(84) = "600"
물량(84) = "550"
수비력(84) = "450"
정찰(84) = "550"
센스(84) = "700"
컨트롤(84) = "850"

'85번째 선수
이름(85) = "이신형"
랭크(85) = "Rare"
OYear(85) = "<11>"
Team(85) = "STX"
종족(85) = "1"
공격력(85) = "750"
견제(85) = "550"
전략(85) = "600"
물량(85) = "750"
수비력(85) = "800"
정찰(85) = "700"
센스(85) = "650"
컨트롤(85) = "800"

'86번째 선수
이름(86) = "조일장"
랭크(86) = "Normal"
OYear(86) = "<11>"
Team(86) = "STX"
종족(86) = "2"
공격력(86) = "700"
견제(86) = "650"
전략(86) = "550"
물량(86) = "700"
수비력(86) = "550"
정찰(86) = "600"
센스(86) = "600"
컨트롤(86) = "750"

'87번째 선수
이름(87) = "김민철"
랭크(87) = "Special"
OYear(87) = "<11>"
Team(87) = "웅진"
종족(87) = "2"
공격력(87) = "600"
견제(87) = "650"
전략(87) = "600"
물량(87) = "700"
수비력(87) = "750"
정찰(87) = "650"
센스(87) = "600"
컨트롤(87) = "650"

'88번째 선수
이름(88) = "박상우"
랭크(88) = "Normal"
OYear(88) = "<11>"
Team(88) = "웅진"
종족(88) = "1"
공격력(88) = "750"
견제(88) = "550"
전략(88) = "550"
물량(88) = "750"
수비력(88) = "600"
정찰(88) = "650"
센스(88) = "650"
컨트롤(88) = "650"

'89번째 선수
이름(89) = "윤용태"
랭크(89) = "Normal"
OYear(89) = "<11>"
Team(89) = "웅진"
종족(89) = "3"
공격력(89) = "650"
견제(89) = "600"
전략(89) = "600"
물량(89) = "650"
수비력(89) = "550"
정찰(89) = "600"
센스(89) = "600"
컨트롤(89) = "750"

'90번째 선수
이름(90) = "이재호"
랭크(90) = "Rare"
OYear(90) = "<11>"
Team(90) = "웅진"
종족(90) = "1"
공격력(90) = "700"
견제(90) = "700"
전략(90) = "700"
물량(90) = "750"
수비력(90) = "550"
정찰(90) = "750"
센스(90) = "650"
컨트롤(90) = "750"

'91번째 선수
이름(91) = "도재욱"
랭크(91) = "Normal"
OYear(91) = "<11>"
